                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0628,                0.58254,                0.85105,                0.93712,                0.86754,                0.92811,                0.73073,                0.99188,                0.53452,                0.82658,             8.8375e-05,             8.8375e-05,             8.8375e-05
                     53,                 1.0603,                0.57999,                0.85084,                0.92712,                0.87311,                0.93002,                0.73234,                0.99218,                0.53616,                0.82616,             8.6642e-05,             8.6642e-05,             8.6642e-05
                     54,                 1.0641,                0.58241,                0.85191,                0.93587,                0.87284,                0.93391,                0.73591,                0.98439,                0.53447,                 0.8261,              8.491e-05,              8.491e-05,              8.491e-05
                     55,                 1.0589,                0.57843,                0.85171,                0.93984,                0.87593,                0.93507,                0.73652,                 0.9923,                0.53002,                0.82613,             8.3178e-05,             8.3178e-05,             8.3178e-05
                     56,                 1.0507,                0.57549,                0.84909,                0.94478,                0.87547,                0.93382,                0.73623,                0.98201,                0.53182,                0.82505,             8.1445e-05,             8.1445e-05,             8.1445e-05
                     57,                 1.0544,                 0.5768,                0.84815,                0.94096,                0.86985,                0.93442,                0.73363,                 0.9899,                0.53469,                0.82481,             7.9712e-05,             7.9712e-05,             7.9712e-05
                     58,                 1.0563,                0.57531,                0.84652,                0.93113,                0.87875,                0.93337,                0.73812,                0.97683,                0.53803,                0.82445,              7.798e-05,              7.798e-05,              7.798e-05
                     59,                 1.0562,                0.58304,                0.85014,                0.94572,                0.87076,                 0.9372,                 0.7402,                0.98135,                0.53434,                0.82485,             7.6247e-05,             7.6247e-05,             7.6247e-05
                     60,                 1.0519,                0.57517,                0.84818,                0.93481,                0.87999,                0.93495,                 0.7389,                0.97735,                0.53765,                0.82397,             7.4515e-05,             7.4515e-05,             7.4515e-05
                     61,                 1.0492,                0.57329,                0.84738,                0.94689,                0.87112,                0.93331,                0.73994,                0.97447,                0.53965,                0.82425,             7.2783e-05,             7.2783e-05,             7.2783e-05
